Passengerid,Age,Fare,Sex,sibsp,Parch,Pclass,Survived,Embarked_1.0,Embarked_2.0
1,0.2734560942001754,7.25,0,1,0,3,0,False,True
2,0.4738819992484029,71.2833,1,1,0,1,1,False,False
3,0.32356257046223225,7.925,1,0,0,3,1,False,True
4,0.43630214205186024,53.1,1,1,0,1,1,False,True
5,0.43630214205186024,8.05,0,0,0,3,0,False,True
6,0.3486158085932607,8.4583,0,0,0,3,0,True,False
7,0.6743079042966303,51.8625,0,0,0,1,0,False,True
8,0.02292371288989102,21.075,0,3,1,3,0,False,True
9,0.33608918952774647,11.1333,1,0,2,3,1,False,True
10,0.17324314167606164,30.0708,1,1,0,2,1,False,False
11,0.04797695102091946,16.7,1,1,1,3,1,False,True
12,0.7244143805586872,26.55,1,0,0,1,1,False,True
13,0.24840285606914697,8.05,0,0,0,3,0,False,True
14,0.48640861831391713,31.275,0,1,5,3,0,False,True
15,0.17324314167606164,7.8542,1,0,0,3,0,False,True
16,0.6868345233621446,16.0,1,0,0,2,1,False,True
17,0.02292371288989102,29.125,0,4,1,3,0,True,False
18,0.3486158085932607,13.0,0,0,0,2,1,False,True
19,0.38619566578980336,18.0,1,1,0,3,0,False,True
20,0.3486158085932607,7.225,1,0,0,3,1,False,False
21,0.43630214205186024,26.0,0,0,0,2,0,False,True
22,0.423775522986346,13.0,0,0,0,2,1,False,True
23,0.18576976074157586,8.0292,1,0,0,3,1,True,False
24,0.3486158085932607,35.5,0,0,0,1,1,False,True
25,0.09808342728297632,21.075,1,3,1,3,0,False,True
26,0.4738819992484029,31.3875,1,1,5,3,1,False,True
27,0.3486158085932607,7.225,0,0,0,3,0,False,False
28,0.23587623700363275,263.0,0,3,2,1,0,False,True
29,0.3486158085932607,7.8792,1,0,0,3,1,True,False
30,0.3486158085932607,7.8958,0,0,0,3,0,False,True
31,0.49893523737943135,27.7208,0,0,0,1,0,False,False
32,0.3486158085932607,146.5208,1,1,0,1,1,False,False
33,0.3486158085932607,7.75,1,0,0,3,1,True,False
34,0.824627333082801,10.5,0,0,0,2,0,False,True
35,0.3486158085932607,82.1708,0,1,0,1,0,False,False
36,0.5239884755104598,52.0,0,1,0,1,0,False,True
37,0.3486158085932607,7.2292,0,0,0,3,1,False,False
38,0.2609294751346612,8.05,0,0,0,3,0,False,True
39,0.22334961793811853,18.0,1,2,0,3,0,False,True
40,0.17324314167606164,11.2417,1,1,0,3,1,False,False
41,0.49893523737943135,9.475,1,1,0,3,0,False,True
42,0.33608918952774647,21.0,1,1,0,2,0,False,True
43,0.3486158085932607,7.8958,0,0,0,3,0,False,False
44,0.035450331955405236,41.5792,1,1,2,2,1,False,False
45,0.23587623700363275,7.8792,1,0,0,3,1,True,False
46,0.3486158085932607,8.05,0,0,0,3,0,False,True
47,0.3486158085932607,15.5,0,1,0,3,0,True,False
48,0.3486158085932607,7.75,1,0,0,3,1,True,False
49,0.3486158085932607,21.6792,0,2,0,3,0,False,False
50,0.22334961793811853,17.8,1,1,0,3,0,False,True
51,0.0855568082174621,39.6875,0,4,1,3,0,False,True
52,0.2609294751346612,7.8,0,0,0,3,0,False,True
53,0.6116748089690592,76.7292,1,1,0,1,1,False,False
54,0.3611424276587749,26.0,1,1,0,2,1,False,True
55,0.8121007140172868,61.9792,0,0,1,1,0,False,False
56,0.3486158085932607,35.5,0,0,0,1,1,False,True
57,0.2609294751346612,10.5,1,0,0,2,1,False,True
58,0.3548791181260178,7.2292,0,0,0,3,0,False,False
59,0.06050357008643368,27.75,1,1,2,2,1,False,True
60,0.135663284479519,46.9,0,5,2,3,0,False,True
61,0.2734560942001754,7.2292,0,0,0,3,0,False,False
62,0.4738819992484029,80.0,1,0,0,1,1,False,True
63,0.5615683327070025,83.475,0,1,0,1,0,False,True
64,0.04797695102091946,27.9,0,3,2,3,0,False,True
65,0.3486158085932607,27.7208,0,0,0,1,0,False,False
66,0.3486158085932607,15.2458,0,1,1,3,1,False,False
67,0.3611424276587749,10.5,1,0,0,2,1,False,True
68,0.23587623700363275,8.1583,0,0,0,3,0,False,True
69,0.2108229988726043,7.925,1,4,2,3,1,False,True
70,0.32356257046223225,8.6625,0,2,0,3,0,False,True
71,0.3987222848553176,10.5,0,0,0,2,0,False,True
72,0.19829637980709008,46.9,1,5,2,3,0,False,True
73,0.2609294751346612,73.5,0,0,0,2,0,False,True
74,0.32356257046223225,14.4542,0,1,0,3,0,False,False
75,0.3987222848553176,56.4958,0,0,0,3,1,False,True
76,0.311035951396718,7.65,0,0,0,3,0,False,True
77,0.3486158085932607,7.8958,0,0,0,3,0,False,True
78,0.3486158085932607,8.05,0,0,0,3,0,False,True
79,0.008267568583239383,29.0,0,0,2,2,1,False,True
80,0.37366904672428913,12.475,1,0,0,3,1,False,True
81,0.2734560942001754,9.0,0,0,0,3,0,False,True
82,0.3611424276587749,9.5,0,0,0,3,1,False,True
83,0.3486158085932607,7.7875,1,0,0,3,1,True,False
84,0.3486158085932607,47.1,0,0,0,1,0,False,True
85,0.2108229988726043,10.5,1,0,0,2,1,False,True
86,0.4112489039208318,15.85,1,3,0,3,1,False,True
87,0.19829637980709008,34.375,0,1,3,3,0,False,True
88,0.3486158085932607,8.05,0,0,0,3,0,False,True
89,0.28598271326568964,263.0,1,3,2,1,1,False,True
90,0.2985093323312038,8.05,0,0,0,3,0,False,True
91,0.3611424276587749,8.05,0,0,0,3,0,False,True
92,0.24840285606914697,7.8542,0,0,0,3,0,False,True
93,0.5740949517725167,61.175,0,1,0,1,0,False,True
94,0.32356257046223225,20.575,0,1,2,3,0,False,True
95,0.7369409996242015,7.25,0,0,0,3,0,False,True
96,0.3486158085932607,8.05,0,0,0,3,0,False,True
97,0.8872604284103721,34.6542,0,0,0,1,0,False,False
98,0.28598271326568964,63.3583,0,0,1,1,1,False,False
99,0.423775522986346,23.0,1,0,1,2,1,False,True
100,0.423775522986346,26.0,0,1,0,2,0,False,True
101,0.3486158085932607,7.8958,1,0,0,3,0,False,True
102,0.3486158085932607,7.8958,0,0,0,3,0,False,True
103,0.2609294751346612,77.2875,0,0,1,1,0,False,True
104,0.4112489039208318,8.6542,0,0,0,3,0,False,True
105,0.4613553801828887,7.925,0,2,0,3,0,False,True
106,0.3486158085932607,7.8958,0,0,0,3,0,False,True
107,0.2609294751346612,7.65,1,0,0,3,1,False,True
108,0.3486158085932607,7.775,0,0,0,3,1,False,True
109,0.4738819992484029,7.8958,0,0,0,3,0,False,True
110,0.3486158085932607,24.15,1,1,0,3,1,True,False
111,0.5866215708380309,52.0,0,0,0,1,0,False,True
112,0.17950645120881875,14.4542,1,1,0,3,0,False,False
113,0.2734560942001754,8.05,0,0,0,3,0,False,True
114,0.24840285606914697,9.825,1,1,0,3,0,False,True
115,0.2108229988726043,14.4583,1,0,0,3,0,False,False
116,0.2609294751346612,7.925,0,0,0,3,0,False,True
117,0.880997118877615,7.75,0,0,0,3,0,True,False
118,0.3611424276587749,21.0,0,1,0,2,0,False,True
119,0.2985093323312038,247.5208,0,0,1,1,0,False,False
120,0.02292371288989102,31.275,1,4,2,3,0,False,True
121,0.2609294751346612,73.5,0,2,0,2,0,False,True
122,0.3486158085932607,8.05,0,0,0,3,0,False,True
123,0.4049855943880747,30.0708,0,1,0,2,0,False,False
124,0.4049855943880747,13.0,1,0,0,2,1,False,True
125,0.6743079042966303,77.2875,0,0,1,1,0,False,True
126,0.1481899035450332,11.2417,0,1,0,3,1,False,False
127,0.3486158085932607,7.75,0,0,0,3,0,True,False
128,0.2985093323312038,7.1417,0,0,0,3,1,False,True
129,0.3486158085932607,22.3583,1,1,1,3,1,False,False
130,0.5615683327070025,6.975,0,0,0,3,0,False,True
131,0.4112489039208318,7.8958,0,0,0,3,0,False,False
132,0.24840285606914697,7.05,0,0,0,3,0,False,True
133,0.5866215708380309,14.5,1,1,0,3,0,False,True
134,0.3611424276587749,26.0,1,1,0,2,1,False,True
135,0.311035951396718,13.0,0,0,0,2,0,False,True
136,0.28598271326568964,15.0458,0,0,0,2,0,False,False
137,0.23587623700363275,26.2833,1,0,2,1,1,False,True
138,0.4613553801828887,53.1,0,1,0,1,0,False,True
139,0.19829637980709008,9.2167,0,0,0,3,0,False,True
140,0.2985093323312038,79.2,0,0,0,1,0,False,False
141,0.3486158085932607,15.2458,1,0,2,3,0,False,False
142,0.2734560942001754,7.75,1,0,0,3,1,False,True
143,0.2985093323312038,15.85,1,1,0,3,1,False,True
144,0.23587623700363275,6.75,0,0,0,3,0,True,False
145,0.22334961793811853,11.5,0,0,0,2,0,False,True
146,0.23587623700363275,36.75,0,1,1,2,0,False,True
147,0.33608918952774647,7.7958,0,0,0,3,1,False,True
148,0.11061004634849055,34.375,1,2,2,3,0,False,True
149,0.4550920706501316,26.0,0,0,2,2,0,False,True
150,0.5239884755104598,13.0,0,0,0,2,0,False,True
151,0.6367280471000877,12.525,0,0,0,2,0,False,True
152,0.2734560942001754,66.6,1,1,0,1,1,False,True
153,0.6930978328949017,8.05,0,0,0,3,0,False,True
154,0.5051985469121885,14.5,0,0,2,3,0,False,True
155,0.3486158085932607,7.3125,0,0,0,3,0,False,True
156,0.6367280471000877,61.3792,0,0,1,1,0,False,False
157,0.19829637980709008,7.7333,1,0,0,3,1,True,False
158,0.37366904672428913,8.05,0,0,0,3,0,False,True
159,0.3486158085932607,8.6625,0,0,0,3,0,False,True
160,0.3486158085932607,69.55,0,8,2,3,0,False,True
161,0.5490417136414882,16.1,0,0,1,3,0,False,True
162,0.49893523737943135,15.75,1,0,0,2,1,False,True
163,0.32356257046223225,7.775,0,0,0,3,0,False,True
164,0.2108229988726043,8.6625,0,0,0,3,0,False,True
165,0.0103970938243768,39.6875,0,4,1,3,0,False,True
166,0.11061004634849055,20.525,0,0,2,3,1,False,True
167,0.3486158085932607,55.0,1,0,1,1,1,False,True
168,0.5615683327070025,27.9,1,1,4,3,0,False,True
169,0.3486158085932607,25.925,0,0,0,1,0,False,True
170,0.3486158085932607,56.4958,0,0,0,3,0,False,True
171,0.7619942377552299,33.5,0,0,0,1,0,False,True
172,0.04797695102091946,29.125,0,4,1,3,0,True,False
173,0.0103970938243768,11.1333,1,1,1,3,1,False,True
174,0.2609294751346612,7.925,0,0,0,3,0,False,True
175,0.6993611424276588,30.6958,0,0,0,1,0,False,False
176,0.22334961793811853,7.8542,0,1,1,3,0,False,True
177,0.3486158085932607,25.4667,0,3,1,3,0,False,True
178,0.6242014280345735,28.7125,1,0,0,1,0,False,False
179,0.37366904672428913,13.0,0,0,0,2,0,False,True
180,0.44882876111737446,0.0,0,0,0,3,0,False,True
181,0.3486158085932607,69.55,1,8,2,3,0,False,True
182,0.3486158085932607,15.05,0,0,0,2,0,False,False
183,0.11061004634849055,31.3875,0,4,2,3,0,False,True
184,0.0103970938243768,39.0,0,2,1,2,1,False,True
185,0.04797695102091946,22.025,1,0,2,3,1,False,True
186,0.3486158085932607,50.0,0,0,0,1,0,False,True
187,0.3486158085932607,15.5,1,1,0,3,1,True,False
188,0.5615683327070025,26.55,0,0,0,1,1,False,True
189,0.49893523737943135,15.5,0,1,1,3,0,True,False
190,0.44882876111737446,7.8958,0,0,0,3,0,False,True
191,0.3987222848553176,13.0,1,0,0,2,1,False,True
192,0.23587623700363275,13.0,0,0,0,2,0,False,True
193,0.23587623700363275,7.8542,1,1,0,3,1,False,True
194,0.035450331955405236,26.0,0,1,1,2,1,False,True
195,0.5490417136414882,27.7208,1,0,0,1,1,False,False
196,0.7244143805586872,146.5208,1,0,0,1,1,False,False
197,0.3486158085932607,7.75,0,0,0,3,0,True,False
198,0.5239884755104598,8.4042,0,0,1,3,0,False,True
199,0.3486158085932607,7.75,1,0,0,3,1,True,False
200,0.2985093323312038,13.0,1,0,0,2,0,False,True
201,0.3486158085932607,9.5,0,0,0,3,0,False,True
202,0.3486158085932607,69.55,0,8,2,3,0,False,True
203,0.423775522986346,6.4958,0,0,0,3,0,False,True
204,0.5678316422397596,7.225,0,0,0,3,0,False,False
205,0.22334961793811853,8.05,0,0,0,3,1,False,True
206,0.02292371288989102,10.4625,1,0,1,3,0,False,True
207,0.3987222848553176,15.85,0,1,0,3,0,False,True
208,0.32356257046223225,18.7875,0,0,0,3,1,False,False
209,0.19829637980709008,7.75,1,0,0,3,1,True,False
210,0.49893523737943135,31.0,0,0,0,1,1,False,False
211,0.2985093323312038,7.05,0,0,0,3,0,False,True
212,0.43630214205186024,21.0,1,0,0,2,1,False,True
213,0.2734560942001754,7.25,0,0,0,3,0,False,True
214,0.37366904672428913,13.0,0,0,0,2,0,False,True
215,0.3486158085932607,7.75,0,1,0,3,0,True,False
216,0.38619566578980336,113.275,1,1,0,1,1,False,False
217,0.33608918952774647,7.925,1,0,0,3,1,False,True
218,0.5239884755104598,27.0,0,1,0,2,0,False,True
219,0.3987222848553176,76.2917,1,0,0,1,1,False,False
220,0.37366904672428913,10.5,0,0,0,2,0,False,True
221,0.19829637980709008,8.05,0,0,0,3,1,False,True
222,0.33608918952774647,13.0,0,0,0,2,0,False,True
223,0.6367280471000877,8.05,0,0,0,3,0,False,True
224,0.3486158085932607,7.8958,0,0,0,3,0,False,True
225,0.4738819992484029,90.0,0,1,0,1,1,False,True
226,0.2734560942001754,9.35,0,0,0,3,0,False,True
227,0.23587623700363275,10.5,0,0,0,2,1,False,True
228,0.2546661656019041,7.25,0,0,0,3,0,False,True
229,0.22334961793811853,13.0,0,0,0,2,0,False,True
230,0.3486158085932607,25.4667,1,3,1,3,0,False,True
231,0.43630214205186024,83.475,1,1,0,1,1,False,True
232,0.3611424276587749,7.775,0,0,0,3,0,False,True
233,0.7369409996242015,13.5,0,0,0,2,0,False,True
234,0.06050357008643368,31.3875,1,4,2,3,1,False,True
235,0.2985093323312038,10.5,0,0,0,2,0,False,True
236,0.3486158085932607,7.55,1,0,0,3,0,False,True
237,0.5490417136414882,26.0,0,1,0,2,0,False,True
238,0.09808342728297632,26.25,1,0,2,2,1,False,True
239,0.23587623700363275,10.5,0,0,0,2,0,False,True
240,0.4112489039208318,12.275,0,0,0,2,0,False,True
241,0.3486158085932607,14.4542,1,1,0,3,0,False,False
242,0.3486158085932607,15.5,1,1,0,3,1,True,False
243,0.3611424276587749,10.5,0,0,0,2,0,False,True
244,0.2734560942001754,7.125,0,0,0,3,0,False,True
245,0.37366904672428913,7.225,0,0,0,3,0,False,False
246,0.5490417136414882,90.0,0,2,0,1,0,True,False
247,0.311035951396718,7.775,1,0,0,3,0,False,True
248,0.2985093323312038,14.5,1,0,2,2,1,False,True
249,0.4613553801828887,52.5542,0,1,1,1,1,False,True
250,0.6743079042966303,26.0,0,1,0,2,0,False,True
251,0.3486158085932607,7.25,0,0,0,3,0,False,True
252,0.3611424276587749,10.4625,1,1,1,3,0,False,True
253,0.7745208568207441,26.55,0,0,0,1,0,False,True
254,0.37366904672428913,16.1,0,1,0,3,0,False,True
255,0.5114618564449456,20.2125,1,0,2,3,0,False,True
256,0.3611424276587749,15.2458,1,0,2,3,1,False,False
257,0.3486158085932607,79.2,1,0,0,1,1,False,False
258,0.37366904672428913,86.5,1,0,0,1,1,False,True
259,0.43630214205186024,512.3292,1,0,0,1,1,False,False
260,0.6242014280345735,26.0,1,0,1,2,1,False,True
261,0.3486158085932607,7.75,0,0,0,3,0,True,False
262,0.035450331955405236,31.3875,0,4,2,3,1,False,True
263,0.6492546661656019,79.65,0,1,1,1,0,False,True
264,0.49893523737943135,0.0,0,0,0,1,0,False,True
265,0.3486158085932607,7.75,1,0,0,3,0,True,False
266,0.44882876111737446,10.5,0,0,0,2,0,False,True
267,0.19829637980709008,39.6875,0,4,1,3,0,False,True
268,0.311035951396718,7.775,0,1,0,3,1,False,True
269,0.7244143805586872,153.4625,1,0,1,1,1,False,True
270,0.43630214205186024,135.6333,1,0,0,1,1,False,True
